# %ECSV 1.0
# ---
# datatype:
# - {name: wavelength, unit: micron, datatype: float64}
# - {name: time, unit: d, datatype: float64}
# - {name: flux, datatype: float64}
# - {name: uncertainty, datatype: float64}
# - {name: planet_model, datatype: float64}
# - {name: systematics_model, datatype: float64}
# - {name: model, datatype: float64}
# - {name: residuals, datatype: float64}
# meta: {name: WASP-39b, time_label: Time from Mid-Transit, tscale: linear, wscale: log}
# schema: astropy-2.0
wavelength time flux uncertainty planet_model systematics_model model residuals
3.017 -0.10805194387405281 0.9995981321990601 0.00034036793742789145 1.0 1.0028406761325857 1.000000173829921 -0.00040204163086077216
3.017 -0.10736640850274926 1.0003234100777254 0.0003403707717798672 1.0 1.0028323252291373 1.0000001740775677 0.0003232360001577117
3.017 -0.1066808731314457 1.0004228097370411 0.00034037356443741905 1.0 1.0028240973067635 1.000000174376068 0.0004226353609730893
3.017 -0.10599533822580343 0.9999161710648395 0.00034037633228872424 1.0 1.0028159426035033 1.0000001748864105 -8.400382157092157e-05
3.017 -0.10530980332016115 1.0000740295392527 0.00034037914848311467 1.0 1.0028076456069195 1.0000001752487004 7.385429055228876e-05
3.017 -0.1046242679488576 1.0003834439251955 0.000340381939668301 1.0 1.0027994224272527 1.0000001759927881 0.000383267932407394
3.017 -0.10393873257755404 1.000440703835815 0.00034038473979188004 1.0 1.0027911730494767 1.000000176668781 0.0004405271670340216
3.017 -0.10325319720625048 1.0002578520684375 0.00034038749689173484 1.0 1.002783050555487 1.000000176541289 0.0002576755271486153
3.017 -0.10256766230060821 1.0004912809989688 0.00034039025370623553 1.0 1.00277492903372 1.0000001761590256 0.0004911048399431905
3.017 -0.10188212739496594 0.9995431914966135 0.00034039302385959966 1.0 1.0027667683484285 1.0000001765270001 -0.000456985030386603
3.017 -0.10119659202366238 0.9995280931919888 0.00034039578847318785 1.0 1.0027586241153696 1.0000001768494153 -0.00047208365742656966
